GEO_ID,GEO_LABEL,GEO_DISPLAY_NAME,,Meal Gap (# of meals needed per year for food security),Food Insecure (% of residents),SNAP Benefits (% households),Bodega to Supermarket Ratio (#)
3603701,Bronx Community District 8,"Riverdale, Fieldston & Kingsbridge",,2448908,,,
3603702,Bronx Community District 12,"Wakefield, Williamsbridge & Woodlawn",,5850169,,,
3603703,Bronx Community District 10,"Coop City, Pelham Bay & Schuylerville",,2890426,,,
3603704,Bronx Community District 11,"Pelham Parkway, Morris Park & Laconia",,3532469,,,
3603705,Bronx Community District 3 & 6,"Belmont, Crotona Park East & East Tremont",,6700229,,,
3603706,Bronx Community District 7,"Bedford Park, Fordham North & Norwood",,3808397,,,
3603707,Bronx Community District 5,"Morris Heights, Fordham South & Mount Hope",,5105643,,,
3603708,Bronx Community District 4,"Concourse, Highbridge & Mount Eden",,5126873,,,
3603709,Bronx Community District 9,"Castle Hill, Clason Point & Parkchester",,5667139,,,
3603710,Bronx Community District 1 & 2,"Hunts Point, Longwood & Melrose",,5637546,,,
3603801,Manhattan Community District 12,"Washington Heights, Inwood & Marble Hill",,5565856,,,
3603802,Manhattan Community District 9,"Hamilton Heights, Manhattanville & West Harlem",,4465450,,,
3603803,Manhattan Community District 10,Central Harlem,,6300973,,,
3603804,Manhattan Community District 11,East Harlem,,4548222,,,
3603805,Manhattan Community District 8,Upper East Side,,3939719,,,
3603806,Manhattan Community District 7,Upper West Side & West Side,,4007916,,,
3603807,Manhattan Community District 4 & 5,"Chelsea, Clinton & Midtown Business District",,3367966,,,
3603808,Manhattan Community District 6,"Murray Hill, Gramercy & Stuyvesant Town",,2925121,,,
3603809,Manhattan Community District 3,Chinatown & Lower East Side,,5066241,,,
3603810,Manhattan Community District 1 & 2,"Battery Park City, Greenwich Village & Soho",,2929871,,,
3603901,Staten Island Community District 3,"Tottenville, Great Kills & Annadale",,2244509,,,
3603902,Staten Island Community District 2,New Springville & South Beach,,2119272,,,
3603903,Staten Island Community District 1,"Port Richmond, Stapleton & Mariner's Harbor",,4256215,,,
3604001,Brooklyn Community District 1,Greenpoint & Williamsburg,,4230546,,,
3604002,Brooklyn Community District 4,Bushwick,,4269443,,,
3604003,Brooklyn Community District 3,Bedford-Stuyvesant,,6831068,,,
3604004,Brooklyn Community District 2,Brooklyn Heights & Fort Greene,,3995959,,,
3604005,Brooklyn Community District 6,"Park Slope, Carroll Gardens & Red Hook",,2155509,,,
3604006,Brooklyn Community District 8,Crown Heights North & Prospect Heights,,5898863,,,
3604007,Brooklyn Community District 16,Brownsville & Ocean Hill,,6890757,,,
3604008,Brooklyn Community District 5,East New York & Starrett City,,6373047,,,
3604009,Brooklyn Community District 18,Canarsie & Flatlands,,7243599,,,
3604010,Brooklyn Community District 17,"East Flatbush, Farragut & Rugby",,6616561,,,
3604011,Brooklyn Community District 9,"Crown Heights South, Prospect Lefferts & Wingate",,5857514,,,
3604012,Brooklyn Community District 7,Sunset Park & Windsor Terrace,,3830870,,,
3604013,Brooklyn Community District 10,Bay Ridge & Dyker Heights,,3260522,,,
3604014,Brooklyn Community District 12,"Borough Park, Kensington & Ocean Parkway",,5046774,,,
3604015,Brooklyn Community District 14,Flatbush & Midwood,,5873204,,,
3604016,Brooklyn Community District 15,"Sheepshead Bay, Gerritsen Beach & Homecrest",,3865084,,,
3604017,Brooklyn Community District 11,Bensonhurst & Bath Beach,,4955978,,,
3604018,Brooklyn Community District 13,Brighton Beach & Coney Island,,3798001,,,
3604101,Queens Community District 1,Astoria & Long Island City,,4755505,,,
3604102,Queens Community District 3,Jackson Heights & North Corona,,2715853,,,
3604103,Queens Community District 7,"Flushing, Murray Hill & Whitestone",,5543537,,,
3604104,Queens Community District 11,"Bayside, Douglaston & Little Neck",,1819042,,,
3604105,Queens Community District 13,"Queens Village, Cambria Heights & Rosedale",,5682579,,,
3604106,Queens Community District 8,"Briarwood, Fresh Meadows & Hillcrest",,3992143,,,
3604107,Queens Community District 4,Elmhurst & South Corona,,2851549,,,
3604108,Queens Community District 6,Forest Hills & Rego Park,,2240495,,,
3604109,Queens Community District 2,Sunnyside & Woodside,,2661962,,,
3604110,Queens Community District 5,"Ridgewood, Glendale & Middle Village",,2929390,,,
3604111,Queens Community District 9,Richmond Hill & Woodhaven,,2810093,,,
3604112,Queens Community District 12,"Jamaica, Hollis & St. Albans",,9464831,,,
3604113,Queens Community District 10,Howard Beach & Ozone Park,,2924411,,,
3604114,Queens Community District 14,"Far Rockaway, Breezy Point & Broad Channel",,3693909,,,
101,Manhattan CD 001,Financial District,,,7.197321235,4.055777031,6
102,Manhattan CD 002,Greenwich Village and Soho,,,8.995366708,4.874386737,7
103,Manhattan CD 003,Lower East Side and Chinatown,,,17.93239462,26.21623911,18
104,Manhattan CD 004,Clinton and Chelsea,,,11.84996531,10.40696612,7
105,Manhattan CD 005,Midtown,,,9.253463574,5.472045174,11
106,Manhattan CD 006,Stuyvesant Town and Turtle Bay,,,8.660667733,3.411195012,7
107,Manhattan CD 007,Upper West Side,,,10.29843721,7.774469414,3
108,Manhattan CD 008,Upper East Side,,,7.741216875,3.516230814,5
109,Manhattan CD 009,Morningside Heights and Hamilton Heights,,,16.35426846,22.09570049,11
110,Manhattan CD 010,Central Harlem,,,19.80079383,22.37877335,11
111,Manhattan CD 011,East Harlem,,,22.43974729,30.7919083,17
112,Manhattan CD 012,Washington Heights and Inwood,,,16.64912449,32.27797415,13
201,Bronx CD 001,Mott Haven and Melrose,,,25.35790457,52.00984985,25
202,Bronx CD 002,Hunts Point and Longwood,,,23.72145231,50.53860289,20
203,Bronx CD 003,Morrisania and Crotona,,,25.13256062,51.0373326,10
204,Bronx CD 004,Highbridge and Concourse,,,22.31132991,44.84030462,18
205,Bronx CD 005,Fordham and University Heights,,,24.6326334,52.2427939,20
206,Bronx CD 006,Belmont and East Tremont,,,26.68887083,54.08987602,37
207,Bronx CD 007,Kingsbridge Heights and Bedford,,,20.7937931,41.78351784,18
208,Bronx CD 008,Riverdale and Fieldston,,,14.26452614,21.50568648,10
209,Bronx CD 009,Parkchester and Soundview,,,19.42082986,34.42340738,13
210,Bronx CD 010,Throgs Neck and Co-op City,,,12.33443428,15.41549561,7
211,Bronx CD 011,Morris Park and Bronxdale,,,16.12303263,25.03735677,17
212,Bronx CD 012,Williamsbridge and Baychester,,,17.00468063,27.10625988,8
301,Brooklyn CD 001,Greenpoint and Williamsburg,,,16.84877276,23.76830441,25
302,Brooklyn CD 002,Fort Greene and Brooklyn Heights,,,13.39047467,13.29249642,12
303,Brooklyn CD 003,Bedford Stuyvesant,,,18.06177808,29.05957517,57
304,Brooklyn CD 004,Bushwick,,,16.59026798,30.62299358,31
305,Brooklyn CD 005,East New York and Starrett City,,,18.36719297,33.83566435,13
306,Brooklyn CD 006,Park Slope and Carroll Gardens,,,10.88616617,10.59692754,12
307,Brooklyn CD 007,Sunset Park,,,14.17499709,22.58908193,45
308,Brooklyn CD 008,Crown Heights and Prospect Heights,,,16.90513207,23.12889455,25
309,Brooklyn CD 009,South Crown Heights and Lefferts Gardens,,,16.75761431,22.5120014,21
310,Brooklyn CD 010,Bay Ridge and Dyker Heights,,,13.11356669,13.97801464,20
311,Brooklyn CD 011,Bensonhurst,,,14.4533916,24.52981563,27
312,Brooklyn CD 012,Borough Park,,,17.27241634,29.09659885,18
313,Brooklyn CD 013,Coney Island,,,20.69836589,38.37361365,21
314,Brooklyn CD 014,Flatbush and Midwood,,,15.30133191,24.67774725,21
315,Brooklyn CD 015,Sheepshead Bay,,,13.01394784,19.84219222,25
316,Brooklyn CD 016,Brownsville,,,25.50573347,45.08331384,15
317,Brooklyn CD 017,East Flatbush,,,14.07610945,22.0035082,21
318,Brooklyn CD 018,Flatlands and Canarsie,,,10.35199736,14.90270732,9
401,Queens CD 001,Long Island City and Astoria,,,13.40092297,13.6359389,10
402,Queens CD 002,Woodside and Sunnyside,,,9.62693375,7.608593293,16
403,Queens CD 003,Jackson Heights,,,10.44160612,17.52670916,17
404,Queens CD 004,Elmhurst and Corona,,,12.42202756,22.49455626,16
405,Queens CD 005,Ridgewood and Maspeth,,,9.247806858,8.358349594,15
406,Queens CD 006,Rego Park and Forest Hills,,,10.25633886,10.02861106,5
407,Queens CD 007,Flushing and Whitestone,,,11.34548863,12.8715541,6
408,Queens CD 008,Hillcrest and Fresh Meadows,,,12.31583129,12.02225082,5
409,Queens CD 009,Kew Gardens and Woodhaven,,,10.84135466,15.94991885,11
410,Queens CD 010,South Ozone Park and Howard Beach,,,11.20250633,15.18551775,8
411,Queens CD 011,Bayside and Little Neck,,,7.599478575,6.511331708,5
412,Queens CD 012,Jamaica and Hollis,,,12.98868995,19.46717174,20
413,Queens CD 013,Queens Village,,,8.920311328,11.14673744,14
414,Queens CD 014,Rockaway and Broad Channel,,,16.46544877,28.35792525,8
501,Richmond CD 001,St. George and Stapleton,,,12.34333529,21.87743923,28
502,Richmond CD 002,South Beach and Willowbrook,,,9.016702239,10.50165671,7
503,Richmond CD 003,Tottenville and Great Kills,,,7.026456381,5.628073133,4
36005000100,"Census Tract 1, Bronx County, New York",,,,13.7,,
36005000200,"Census Tract 2, Bronx County, New York",,,,18.7,23.19277108,
36005000400,"Census Tract 4, Bronx County, New York",,,,8.3,15.18084564,
36005001600,"Census Tract 16, Bronx County, New York",,,,15.6,34.86377397,
36005001900,"Census Tract 19, Bronx County, New York",,,,23.1,28.09472551,
36005002000,"Census Tract 20, Bronx County, New York",,,,28.3,47.82608696,
36005002300,"Census Tract 23, Bronx County, New York",,,,29.1,66.65,
36005002400,"Census Tract 24, Bronx County, New York",,,,15,11.62790698,
36005002500,"Census Tract 25, Bronx County, New York",,,,23.3,55.46995378,
36005002701,"Census Tract 27.01, Bronx County, New York",,,,26.3,61.35721018,
36005002702,"Census Tract 27.02, Bronx County, New York",,,,29.7,58.49056604,
36005002800,"Census Tract 28, Bronx County, New York",,,,12.7,15.07145951,
36005003100,"Census Tract 31, Bronx County, New York",,,,12.5,23.28308208,
36005003300,"Census Tract 33, Bronx County, New York",,,,34.2,62.1869783,
36005003500,"Census Tract 35, Bronx County, New York",,,,22.6,43.23279196,
36005003700,"Census Tract 37, Bronx County, New York",,,,24.2,54.72972973,
36005003800,"Census Tract 38, Bronx County, New York",,,,18.4,25.79075426,
36005003900,"Census Tract 39, Bronx County, New York",,,,20,48.4123107,
36005004001,"Census Tract 40.01, Bronx County, New York",,,,13.8,23.34710744,
36005004100,"Census Tract 41, Bronx County, New York",,,,30,53.84241245,
36005004200,"Census Tract 42, Bronx County, New York",,,,21.6,35.34356725,
36005004300,"Census Tract 43, Bronx County, New York",,,,27.7,55.04500237,
36005004400,"Census Tract 44, Bronx County, New York",,,,31.5,56.18525289,
36005004600,"Census Tract 46, Bronx County, New York",,,,22.3,46.31728045,
36005004800,"Census Tract 48, Bronx County, New York",,,,21.9,43.63894812,
36005005001,"Census Tract 50.01, Bronx County, New York",,,,28.3,44.02555911,
36005005002,"Census Tract 50.02, Bronx County, New York",,,,25.5,53.393907,
36005005100,"Census Tract 51, Bronx County, New York",,,,28.5,60.24963994,
36005005200,"Census Tract 52, Bronx County, New York",,,,16.5,55.63549161,
36005005300,"Census Tract 53, Bronx County, New York",,,,38.2,68.51037084,
36005005400,"Census Tract 54, Bronx County, New York",,,,20.1,38.49607183,
36005005600,"Census Tract 56, Bronx County, New York",,,,26.7,49.5412844,
36005005902,"Census Tract 59.02, Bronx County, New York",,,,19,34.906588,
36005006000,"Census Tract 60, Bronx County, New York",,,,22.1,40.51948052,
36005006100,"Census Tract 61, Bronx County, New York",,,,13.9,15.30564629,
36005006200,"Census Tract 62, Bronx County, New York",,,,26.2,51.10076207,
